id_perfil1,id_perfil2
206,217
1052,1177
405,1366
298,745
1079,1310
171,381
165,566
239,515
717,1079
694,1095
721,1198
504,971
509,1315
338,1433
1094,1187
638,1321
213,391
1046,1496
608,1270
1105,1322
360,1168
336,582
284,392
1003,1045
1295,1419
212,1455
642,1039
507,814
144,762
985,1378
1022,1445
485,1213
619,1405
1,80
745,763
822,983
367,1342
136,655
311,1410
214,1477
368,1163
473,1179
706,1158
832,1297
496,1348
174,1297
75,1291
130,998
245,948
809,1286
831,1045
504,650
982,1214
486,1010
885,1281
921,938
1109,1174
83,778
349,897
13,948
1276,1287
272,650
360,497
1127,1164
1090,1282
842,1180
630,1297
490,728
471,486
990,1051
458,1190
52,502
1308,1360
136,1139
133,841
413,666
96,959
662,1370
177,389
926,1416
122,867
906,949
997,1067
634,1015
680,1360
1249,1288
960,1185
289,980
440,1149
536,857
522,959
19,338
103,975
34,1370
879,1196
120,1144
655,1488
169,282
936,949
248,1329
72,349
932,1207
1271,1427
1331,1478
663,790
1122,1304
175,1201
31,698
397,1021
476,1314
108,918
732,745
355,795
38,1088
69,401
525,1206
282,1448
342,1499
519,637
529,1325
937,1150
848,1078
573,873
259,683
541,1335
219,1284
976,1263
43,1058
1242,1382
65,817
500,745
159,452
804,1156
362,811
35,416
996,1326
633,1274
1233,1269
443,1150
288,1212
587,1279
1100,1275
1251,1444
301,1043
332,356
903,1111
28,884
869,1500
124,592
253,1002
344,366
3,73
771,1342
272,463
84,412
521,1167
402,1475
345,941
1200,1455
892,1110
19,956
363,766
41,715
896,1229
75,299
968,1105
117,710
631,931
106,551
412,1008
337,834
166,952
653,1070
215,844
66,721
272,597
12,1424
346,546
404,716
177,1491
1371,1471
708,1127
95,146
41,849
896,1363
490,675
70,89
747,1240
3,1496
399,907
588,1368
926,1363
525,1019
342,1312
411,917
567,1430
1305,1359
637,671
754,1256
86,568
1268,1477
141,275
504,1081
1166,1200
486,1441
594,974
444,1215
502,1385
1184,1190
518,1137
8,1035
1221,1257
462,1205
452,517
603,686
1149,1354
514,614
323,1046
39,1287
422,1025
950,1144
721,1092
41,1333
1161,1364
471,917
139,178
1004,1380
38,1035
160,466
304,1154
978,1098
702,1200
130,974
6,184
80,887
869,1313
48,1349
1135,1432
161,1226
651,861
62,466
521,980
559,1272
39,482
29,1457
454,697
495,698
763,1452
422,1159
513,1277
631,744
