id_localizacao,rua,numero,bairro,cidade,estado,pais
1,Juan Plaza,197,fort,West Christopher,California,San Marino
2,Alexander Row,806,furt,New Melodytown,Georgia,Kazakhstan
3,Bird Roads,448,furt,New Paulside,Louisiana,Aruba
4,Danielle Estate,350,fort,Bradleyhaven,New York,Chad
5,Dawson Oval,949,berg,Lake Jacob,Hawaii,Niger
6,Mark Rapids,597,burgh,West Benjaminmouth,Louisiana,Tuvalu
7,Stephanie Throughway,67,shire,Anthonyfort,Indiana,Ecuador
8,Rivera Station,315,mouth,Hudsonberg,Alaska,Italy
9,Jennifer Lakes,623,fort,West Matthewland,Arkansas,Algeria
10,Kelly Summit,345,burgh,East Meghan,California,Estonia
11,Ashley Rue,803,town,Michaelberg,West Virginia,Mali
12,Jessica Viaduct,43,ton,North Russell,Minnesota,Malaysia
13,Peters Plains,429,ville,North Tanyachester,Pennsylvania,Cape Verde
14,Lindsay Passage,935,view,Aaronchester,North Dakota,Egypt
15,Alexander Terrace,218,shire,Lake Samuel,Washington,El Salvador
16,Suzanne Branch,447,stad,Bowmanstad,Iowa,Serbia
17,Charles Plain,363,ville,East Jeffreyview,Alabama,Pakistan
18,Julie Spurs,170,bury,Thompsonstad,Alaska,Australia
19,Oliver Islands,327,haven,Caseyton,Alabama,Colombia
20,Thompson Pike,274,shire,Jeffreystad,Georgia,Monaco
21,Melissa Skyway,645,mouth,North Jacqueline,West Virginia,Seychelles
22,King Skyway,993,stad,Moniquefurt,Arkansas,Lesotho
23,John Streets,994,town,North Nicoleview,North Dakota,Puerto Rico
24,Kellie Light,904,bury,Madisonfort,Oklahoma,Pitcairn Islands
25,Brittany Lodge,524,shire,New Ashleymouth,Texas,Saint Vincent and the Grenadines
26,Salazar Prairie,269,land,Tinamouth,North Carolina,Guinea
27,Rebecca Tunnel,88,ville,Warnerstad,New Mexico,Uruguay
28,Sanchez Radial,62,view,Patriciamouth,North Dakota,Iran
29,Robert Manor,348,side,Rileyland,Minnesota,Maldives
30,Pope Bypass,400,mouth,West Rhondafurt,Maine,Tunisia
31,Peter Flat,555,furt,South Michellehaven,Oregon,Jersey
32,Lewis Radial,827,port,Johnsonside,South Carolina,Montenegro
33,Watson Radial,482,shire,West Monica,Oklahoma,Korea
34,Karen Village,182,furt,North Karenborough,Louisiana,United States of America
35,Palmer Village,440,mouth,New Alexander,South Carolina,Congo
36,Larson Path,75,view,Lake Lee,Minnesota,Ecuador
37,Walton Light,458,stad,East Danburgh,Maryland,Guyana
38,Valerie Dale,554,haven,Andrewsfurt,New Mexico,Samoa
39,Roy Manors,488,port,Thomastown,Virginia,Sierra Leone
40,Guerrero Stravenue,603,side,Barbaratown,Virginia,Gabon
41,Smith Meadows,821,furt,North Curtis,Utah,Solomon Islands
42,Ryan Place,325,mouth,Lake Michael,Maine,Chile
43,Scott Vista,53,town,Port Monica,Washington,Liberia
44,Edwards Crest,586,fort,Willismouth,South Dakota,Lesotho
45,Eric Greens,977,ton,New Deanna,Alabama,Burundi
46,May Fords,912,view,Elizabethstad,Michigan,Kenya
47,Kimberly Street,508,ton,Gallowaystad,Maine,Azerbaijan
48,Amber Circles,635,land,New Kyle,Maryland,Estonia
49,Spence Squares,546,haven,Jamieborough,Alaska,Bermuda
50,Donna Gardens,184,chester,New Davidport,Delaware,Estonia
51,Leslie Trace,369,side,South Nicoleport,Washington,Senegal
52,Harris Spur,48,mouth,Elizabethbury,South Carolina,United Kingdom
53,Phillips Crossing,126,burgh,North Patrickhaven,Delaware,Tuvalu
54,Mendoza Route,999,land,New James,Indiana,Bahamas
55,Melissa Trace,857,fort,Hansonview,North Dakota,Mauritania
56,Brenda Plains,744,fort,Lake Audreyville,Georgia,Dominican Republic
57,Claudia Forges,119,land,Macdonaldburgh,Alabama,Faroe Islands
58,Carlos Ports,533,side,Millerstad,Iowa,Nepal
59,Alexander Courts,484,borough,Port Andrewshire,Colorado,Mayotte
60,Davis Summit,255,fort,Gregoryborough,Oregon,Burkina Faso
61,Harding Islands,734,shire,Jasminechester,Indiana,Faroe Islands
62,Tracy Ranch,76,mouth,Thomasside,Kansas,Mozambique
63,Timothy Field,227,haven,Paulfurt,Tennessee,Paraguay
64,Tabitha Walks,56,port,North Meghanland,Massachusetts,Saint Martin
65,Baker Fall,208,haven,Jillianberg,Arizona,Burundi
66,Isaiah Overpass,905,shire,North Michelleville,South Carolina,Western Sahara
67,Heather Mission,976,fort,Travismouth,Louisiana,Papua New Guinea
68,Jennifer Meadows,7,view,Sweeneyville,South Carolina,Mozambique
69,Jones Centers,571,haven,South Henryville,Louisiana,Yemen
