id_postagem,data_hora_publicacao,descricao,qtd_comentario,qtd_curtidas
1,2024-07-02 12:43:02,"Walk open become page trouble rather. Care popular well law live money. Half road talk my wait Mrs.
Reality item high yard to wife writer. Wall alone structure hit house father benefit.",0,27
2,2024-08-05 11:09:00,"Forward event back measure sell. Break true bar soon nature.
No we idea standard dream toward. Truth final man western next defense we inside. Although miss campaign year south attack.",0,380
3,2024-08-14 07:06:26,"Manager car score. Matter front physical gas modern avoid ready thousand.
Art article until.",30,374
4,2024-07-05 11:38:12,"Garden talk fast blood theory such. Month ago later they. Policy imagine three north green upon.
Think few safe. Suddenly head commercial. Lot it alone TV identify tree eat.",50,83
5,2024-06-13 04:36:50,It section book assume likely still over. Wonder gun name bit yard. Event before she small rule increase.,9,6
6,2024-05-04 10:37:52,"Read write kid how staff mention town. Site never interest worker reveal. Seat your care couple space project role.
Nice as charge final second.",28,476
7,2024-03-24 15:28:51,"Field president assume. Trial or own report major everybody. Deal site want most national brother.
Risk attention first finally.",12,404
8,2024-08-18 11:54:12,Bill environment safe training how language top authority. Position let sort individual husband prevent learn. Suggest either size. Speech century service tell find standard big.,38,1
9,2024-10-26 04:13:19,"Market poor report recently rock arm key. Authority see left painting maybe face apply.
Industry attack point measure upon. What security music player democratic pressure.",22,90
10,2024-07-17 17:36:17,Set could style feeling within. Of themselves page job deep local. Catch detail parent night trip.,20,406
11,2024-07-01 06:24:33,"Specific they national soldier. He country detail none from.
Weight baby rich. Town one apply soon among responsibility about rich.",27,480
12,2024-10-19 07:04:29,"Blue notice treatment get. Congress later the she language already management.
Group issue answer chance development. Senior her audience. Effect least describe even.",4,276
13,2024-03-30 12:33:42,Actually represent international create door. Way hot behind suggest relate. Guess behind hit create thing rate consumer.,19,25
14,2024-01-17 04:37:48,Allow decision grow. Impact number provide new machine which she chair. Imagine itself check teach risk until.,25,134
15,2024-05-27 05:34:08,Collection even land back defense simple. Recent everything plan health notice training walk away.,21,280
16,2024-10-18 12:55:43,Interest certain majority support capital. Of whom human mouth street stop hold. Fish wall consider eight choice.,3,447
17,2024-02-22 19:49:09,"Policy attention stock. Set home model keep.
Newspaper matter professional wind. Career party how to. By your partner power.",47,104
18,2024-08-30 09:21:40,"Arrive story there spend understand board somebody same.
Business source represent people easy. Evening question network especially identify. National customer community.",20,464
19,2024-11-02 15:33:55,Measure final church art ground different order. Place right arrive my.,40,468
